,Delusion,Wisdom,Virtue,Vice,Justice,Injustice,Ignorance,Enlightenment,Philosopher-King,Tyranny
Bert-base_Kmeans,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
all-MiniLM-L6-v2_Agglomerative,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberta-base_nll,12.5,50.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT2_summary,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
t5-base_summary,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bart-large-cnn_summary,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-2_summary,0.0,16.666666666666664,50.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333
Gemma-2b-it_summary,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-chat-hf_summary,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-7B-Instruct-v0.2_summary,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
